Prompt;Accepted;Rejected;;
Recommended film if you watched:Mr. Wrong (1996);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:Unforgettable (1996);Heat (1995)-GoldenEye (1995)-Casino (1995)-Four Rooms (1995)-Copycat (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Happy Gilmore (1996);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:Bridges of Madison County; The (1995);Grumpier Old Men (1995)-Sabrina (1995)-American President, The (1995)-Cutthroat Island (1995)-Casino (1995);Toy Story (1995)-Jumanji (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Heat (1995);
Recommended film if you watched:Nobody Loves Me (Keiner liebt mich) (1994);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);;
Recommended film if you watched:Muppet Treasure Island (1996);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995);Father of the Bride Part II (1995)-Heat (1995)-Sudden Death (1995)-Balto (1995)-Nixon (1995);;
Recommended film if you watched:Catwalk (1995);Across the Sea of Time (1995)-Nico Icon (1995)-Heidi Fleiss: Hollywood Madam (1995)-Anne Frank Remembered (1995)-Jupiter's Wife (1994);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Headless Body in Topless Bar (1995);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:Braveheart (1995);Heat (1995)-GoldenEye (1995)-American President, The (1995)-Cutthroat Island (1995)-Casino (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Taxi Driver (1976);Heat (1995)-GoldenEye (1995)-American President, The (1995)-Casino (1995)-Sense and Sensibility (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Rumble in the Bronx (1995);Jumanji (1995)-Heat (1995)-Tom and Huck (1995)-GoldenEye (1995)-Cutthroat Island (1995);Toy Story (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Sabrina (1995);;
Recommended film if you watched:Before and After (1996);American President, The (1995)-Casino (1995)-Sense and Sensibility (1995)-Copycat (1995)-Powder (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Margaret's Museum (1995);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Happiness Is in the Field (1995);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:Anne Frank Remembered (1995);Across the Sea of Time (1995)-Nico Icon (1995)-Heidi Fleiss: Hollywood Madam (1995)-Catwalk (1995)-Jupiter's Wife (1994);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Young Poisoner's Handbook; The (1995);Rumble in the Bronx (1995)-Batman Forever (1995)-New York Cop (1996)-Cliffhanger (1993)-Clean Slate (Coup de Torchon) (1981);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);
Recommended film if you watched:If Lucy Fell (1996);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);;
Recommended film if you watched:Steal Big; Steal Little (1995);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);
Recommended film if you watched:Race the Sun (1996);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Boys of St. Vincent; The (1993);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);
Recommended film if you watched:Boomerang (1992);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);;
Recommended film if you watched:Chungking Express (1994);Grumpier Old Men (1995)-Sabrina (1995)-American President, The (1995)-Cutthroat Island (1995)-Casino (1995);Toy Story (1995)-Jumanji (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Star Maker; The (Uomo delle stelle; L') (1995);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995)
Recommended film if you watched:Flirting With Disaster (1996);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:NeverEnding Story III; The (1994);Toy Story (1995)-Jumanji (1995)-Tom and Huck (1995)-GoldenEye (1995)-Cutthroat Island (1995);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Heat (1995)-Sabrina (1995);
Recommended film if you watched:Silence of the Palace; The (Saimt el Qusur) (1994);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);
Recommended film if you watched:Jupiter's Wife (1994);Across the Sea of Time (1995)-Nico Icon (1995)-Heidi Fleiss: Hollywood Madam (1995)-Catwalk (1995)-Anne Frank Remembered (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Pie in the Sky (1995);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);;
Recommended film if you watched:Angela (1995);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Frankie Starlight (1995);Grumpier Old Men (1995)-Sabrina (1995)-American President, The (1995)-Cutthroat Island (1995)-Casino (1995);Toy Story (1995)-Jumanji (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Jade (1995);Heat (1995)-GoldenEye (1995)-Casino (1995)-Four Rooms (1995)-Copycat (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Nueba Yol (1995);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);;
Recommended film if you watched:Sonic Outlaws (1995);Across the Sea of Time (1995)-Nico Icon (1995)-Heidi Fleiss: Hollywood Madam (1995)-Catwalk (1995)-Anne Frank Remembered (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Down Periscope (1996);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:From the Journals of Jean Seberg (1995);Across the Sea of Time (1995)-Nico Icon (1995)-Heidi Fleiss: Hollywood Madam (1995)-Catwalk (1995)-Anne Frank Remembered (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Man of the Year (1995);Across the Sea of Time (1995)-Nico Icon (1995)-Heidi Fleiss: Hollywood Madam (1995)-Catwalk (1995)-Anne Frank Remembered (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Neon Bible; The (1995);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);
Recommended film if you watched:Target (1995);Waiting to Exhale (1995)-Heat (1995)-GoldenEye (1995)-Nixon (1995)-Cutthroat Island (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Sabrina (1995);;
Recommended film if you watched:Up Close and Personal (1996);Grumpier Old Men (1995)-Sabrina (1995)-American President, The (1995)-Cutthroat Island (1995)-Casino (1995);Toy Story (1995)-Jumanji (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Birdcage; The (1996);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);
Recommended film if you watched:Shadows (Cienie) (1988);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Gospa (1995);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Brothers McMullen; The (1995);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);
Recommended film if you watched:Bad Boys (1995);Sudden Death (1995)-Money Train (1995)-Fair Game (1995)-Under Siege 2: Dark Territory (1995)-Drop Zone (1994);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Amazing Panda Adventure; The (1995);Jumanji (1995)-Tom and Huck (1995)-GoldenEye (1995)-Balto (1995)-Cutthroat Island (1995);Toy Story (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Heat (1995);
Recommended film if you watched:Basketball Diaries; The (1995);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);
Recommended film if you watched:Awfully Big Adventure; An (1995);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);
Recommended film if you watched:Amateur (1994);Heat (1995)-GoldenEye (1995)-American President, The (1995)-Casino (1995)-Sense and Sensibility (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Apollo 13 (1995);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Rob Roy (1995);American President, The (1995)-Casino (1995)-Sense and Sensibility (1995)-Copycat (1995)-Powder (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Addiction; The (1995);Dracula: Dead and Loving It (1995)-Lord of Illusions (1995)-Prophecy, The (1995)-Castle Freak (1995)-Interview with the Vampire (1994);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);
Recommended film if you watched:Batman Forever (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);Toy Story (1995)-Father of the Bride Part II (1995)-Sudden Death (1995)-Balto (1995)-Nixon (1995);;
Recommended film if you watched:Belle de jour (1967);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Beyond Rangoon (1995);American President, The (1995)-Casino (1995)-Sense and Sensibility (1995)-Copycat (1995)-Powder (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Blue in the Face (1995);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:Canadian Bacon (1994);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);;
Recommended film if you watched:Casper (1995);Jumanji (1995)-Tom and Huck (1995)-GoldenEye (1995)-Balto (1995)-Cutthroat Island (1995);Toy Story (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Clockers (1995);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Congo (1995);Jumanji (1995)-Heat (1995)-Tom and Huck (1995)-GoldenEye (1995)-Cutthroat Island (1995);Toy Story (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Sabrina (1995);;
Recommended film if you watched:Crimson Tide (1995);American President, The (1995)-Casino (1995)-Sense and Sensibility (1995)-Copycat (1995)-Powder (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Crumb (1994);Across the Sea of Time (1995)-Nico Icon (1995)-Heidi Fleiss: Hollywood Madam (1995)-Catwalk (1995)-Anne Frank Remembered (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Desperado (1995);Heat (1995)-GoldenEye (1995)-Cutthroat Island (1995)-Casino (1995)-Four Rooms (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Devil in a Blue Dress (1995);Heat (1995)-GoldenEye (1995)-Casino (1995)-Four Rooms (1995)-Copycat (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Die Hard: With a Vengeance (1995);Heat (1995)-GoldenEye (1995)-Cutthroat Island (1995)-Casino (1995)-Four Rooms (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Doom Generation; The (1995);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);
Recommended film if you watched:Feast of July (1995);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
